defendant_id,age,sex,race,prior_offenses,offense_severity,employment_status,education,marital_status,substance_abuse,mental_health,neighborhood_crime_rate,bail_amount,time_served_months,recidivism_risk,low_risk_approved
300000,20,Female,White,8,Felony_Low,Employed,High_School,Widowed,No,No,42.8,7902,36,High,No
300001,70,Male,Black,5,Misdemeanor,Employed,High_School,Widowed,No,No,57.7,6778,28,Medium,No
300002,58,Male,Black,1,Misdemeanor,Unemployed,High_School,Single,No,Yes,61.1,6109,58,High,No
300003,61,Male,White,3,Misdemeanor,Self-employed,Some_College,Widowed,No,No,44.1,500,18,Low,Yes
300004,55,Male,Asian,11,Felony_Low,Employed,High_School,Divorced,No,Yes,18.3,5966,6,High,No
300005,39,Male,White,11,Felony_Low,Unemployed,No_HS,Divorced,No,No,0,12103,45,High,No
300006,28,Male,Hispanic,7,Misdemeanor,Part-time,Graduate,Single,Yes,No,71.9,4068,23,Medium,Yes
300007,56,Female,Black,10,Misdemeanor,Employed,Some_College,Married,No,No,75.1,500,3,High,Yes
300008,30,Male,Asian,11,Misdemeanor,Unemployed,High_School,Single,Yes,No,6.3,6259,25,High,No
300009,20,Male,White,9,Misdemeanor,Employed,Bachelors,Married,Yes,No,59.2,3987,40,High,No
300010,31,Male,Hispanic,0,Felony_High,Employed,No_HS,Divorced,No,Yes,0,500,22,High,No
300011,30,Male,Black,5,Felony_High,Unemployed,Bachelors,Single,No,No,9.6,2080,58,High,Yes
300012,29,Female,Black,10,Misdemeanor,Part-time,High_School,Married,Yes,No,4.2,12671,57,High,No
300013,52,Male,Black,7,Felony_High,Unemployed,No_HS,Single,Yes,No,0,7220,25,High,No
300014,41,Female,Black,2,Felony_Mid,Employed,Some_College,Divorced,Yes,Yes,42,7196,56,Low,No
300015,28,Female,White,0,Felony_High,Unemployed,Bachelors,Single,Yes,Yes,34.5,7391,60,High,No
300016,64,Male,Hispanic,7,Felony_Low,Employed,No_HS,Widowed,No,No,50.7,500,5,High,No
300017,49,Female,Hispanic,1,Felony_Low,Employed,High_School,Divorced,No,Yes,43.3,8920,47,High,No
300018,59,Female,Hispanic,8,Felony_High,Employed,High_School,Divorced,No,No,72.3,5495,27,High,No
300019,66,Female,White,2,Misdemeanor,Self-employed,Graduate,Single,Yes,No,94.4,10987,38,High,No
300020,66,Male,White,11,Felony_Low,Employed,Some_College,Widowed,Yes,No,63.5,5873,8,High,No
300021,54,Male,White,2,Felony_Low,Employed,Bachelors,Divorced,Yes,No,13.2,5003,2,High,Yes
300022,61,Female,Black,11,Misdemeanor,Part-time,High_School,Divorced,Yes,No,19.3,3704,32,High,No
300023,59,Male,White,12,Felony_Mid,Employed,Graduate,Divorced,No,No,69.5,2668,28,Medium,Yes
300024,22,Male,White,6,Felony_High,Unemployed,No_HS,Divorced,Yes,Yes,81.9,5407,58,High,No
300025,18,Male,Black,0,Felony_Low,Part-time,Some_College,Married,No,No,34.8,8008,42,High,No
300026,42,Male,Black,10,Felony_Low,Employed,Some_College,Divorced,No,No,54.7,4375,57,High,No
300027,61,Male,Asian,5,Felony_High,Part-time,Some_College,Divorced,No,No,96.2,7388,24,High,No
300028,44,Male,White,3,Felony_Low,Unemployed,Some_College,Married,No,No,26.4,3561,43,Medium,Yes
300029,54,Male,Black,6,Felony_High,Unemployed,High_School,Widowed,No,No,45.9,2701,16,High,No
300030,43,Male,White,10,Misdemeanor,Employed,Some_College,Divorced,Yes,No,90.6,6303,16,High,No
300031,54,Female,Asian,12,Felony_Low,Unemployed,High_School,Single,No,Yes,35.8,2418,45,High,No
300032,34,Male,Black,8,Felony_High,Employed,High_School,Single,No,No,39.6,500,46,High,No
300033,46,Male,White,10,Misdemeanor,Part-time,High_School,Married,Yes,No,25.1,5409,32,High,No
300034,57,Male,Black,1,Felony_Mid,Employed,High_School,Married,Yes,No,43.2,3460,24,High,Yes
300035,20,Male,White,2,Misdemeanor,Employed,High_School,Married,No,No,24,6464,48,Medium,No
300036,35,Male,White,2,Felony_Low,Employed,Some_College,Widowed,Yes,Yes,40.6,9472,8,Medium,No
300037,66,Male,Other,9,Felony_High,Unemployed,High_School,Divorced,No,No,82.8,3310,50,High,No
300038,50,Female,White,0,Misdemeanor,Part-time,Some_College,Widowed,No,No,77.3,3158,3,Medium,No
300039,59,Female,White,2,Felony_Mid,Unemployed,Bachelors,Divorced,Yes,No,46.4,849,35,Medium,Yes
300040,60,Female,White,2,Misdemeanor,Employed,Bachelors,Divorced,No,No,91,9548,0,Medium,Yes
300041,45,Male,Black,2,Misdemeanor,Employed,Bachelors,Single,No,No,68.8,1540,60,Low,Yes
300042,51,Female,White,4,Felony_High,Employed,Bachelors,Widowed,Yes,No,86.4,1392,15,High,No
300043,26,Female,Black,7,Misdemeanor,Self-employed,High_School,Single,No,No,62.2,500,25,Medium,Yes
300044,52,Male,Hispanic,6,Misdemeanor,Part-time,High_School,Divorced,Yes,No,20.6,4163,20,High,No
300045,22,Male,White,6,Misdemeanor,Unemployed,Bachelors,Single,No,No,100.7,500,4,High,No
300046,50,Male,White,11,Misdemeanor,Unemployed,Some_College,Married,No,No,41.9,665,17,High,No
300047,43,Male,White,7,Felony_Mid,Part-time,Some_College,Divorced,Yes,No,41.5,4539,19,High,No
