candidate_id,age,gender,race,education_level,years_experience,skills_score,interview_score,referral,department,location,disability_status,veteran_status,hired
100000,22,Non-binary,White,High School,6,76,4,No,HR,Remote,None,Yes,Yes
100001,55,Male,White,Masters,23,55,2,Yes,Marketing,Austin,None,No,No
100002,38,Male,White,PhD,18,57,6,Yes,Engineering,New York,None,No,Yes
100003,46,Male,White,Bachelors,1,69,7,No,Operations,San Francisco,None,No,No
100004,52,Female,Hispanic,Masters,22,45,5,Yes,Finance,Remote,None,No,No
100005,57,Female,Asian,Bachelors,25,62,5,No,Sales,Austin,None,No,No
100006,54,Male,Black,Masters,9,84,3,No,Finance,Remote,None,No,Yes
100007,55,Male,White,Masters,18,66,6,No,Finance,San Francisco,None,Yes,No
100008,34,Male,Hispanic,Masters,4,44,6,No,Operations,Austin,None,No,No
100009,58,Male,Black,Masters,28,64,7,No,Sales,Austin,None,No,Yes
100010,28,Male,White,Masters,19,49,4,Yes,Finance,Remote,None,No,Yes
100011,40,Male,White,Bachelors,22,73,9,No,Marketing,San Francisco,None,No,Yes
100012,61,Male,Hispanic,Bachelors,10,43,5,No,Marketing,Chicago,None,No,Yes
100013,45,Female,Black,High School,27,39,6,Yes,HR,New York,None,No,Yes
100014,56,Male,Asian,Bachelors,23,69,8,No,Engineering,Chicago,None,No,No
100015,60,Female,Black,Bachelors,20,65,6,Yes,Marketing,San Francisco,None,No,No
100016,57,Male,Other,High School,26,38,10,No,Engineering,Remote,None,No,Yes
100017,30,Male,Hispanic,Masters,21,56,4,No,Finance,Remote,None,No,No
100018,62,Male,White,Bachelors,13,81,6,No,Marketing,Chicago,None,No,No
100019,26,Male,Black,Masters,6,65,4,No,Engineering,San Francisco,None,No,No
100020,47,Male,White,High School,8,86,10,No,Engineering,Remote,Cognitive,No,No
100021,45,Male,White,Masters,13,91,9,No,Engineering,New York,None,No,Yes
100022,62,Female,Hispanic,High School,8,72,6,No,Operations,New York,None,No,No
100023,22,Male,Black,PhD,25,65,7,No,Engineering,San Francisco,None,No,Yes
100024,40,Female,Hispanic,Masters,28,100,9,No,Finance,Remote,Physical,No,Yes
100025,55,Male,White,Masters,24,58,6,No,HR,Chicago,None,No,Yes
100026,30,Female,Black,High School,26,70,9,No,Sales,Austin,None,No,No
100027,49,Non-binary,White,High School,24,73,7,Yes,Operations,Remote,None,No,Yes
100028,31,Female,Asian,Masters,22,60,7,Yes,Finance,Remote,None,No,Yes
100029,49,Female,White,Masters,8,67,6,No,HR,New York,None,No,Yes
100030,42,Female,White,Masters,2,59,7,No,Finance,Remote,None,No,Yes
100031,23,Female,White,High School,20,73,7,No,HR,Austin,None,No,No
100032,60,Female,Asian,Bachelors,2,88,8,No,Finance,San Francisco,None,No,No
100033,25,Male,White,Bachelors,25,44,5,No,Sales,Austin,None,No,No
100034,44,Female,White,Masters,29,72,8,No,Finance,Chicago,Sensory,No,No
100035,31,Female,White,Masters,12,85,6,No,Sales,Chicago,None,No,Yes
100036,32,Male,Hispanic,PhD,25,74,5,No,Engineering,Remote,None,No,No
100037,36,Female,White,Masters,2,43,4,No,HR,Austin,None,No,No
100038,56,Male,Hispanic,High School,26,100,4,No,Marketing,Remote,Cognitive,No,Yes
100039,41,Female,Black,Masters,21,31,6,Yes,Engineering,New York,None,No,No
100040,31,Male,Asian,Masters,21,49,4,No,Marketing,New York,None,No,No
100041,24,Female,White,PhD,0,66,5,No,Operations,New York,None,Yes,No
100042,44,Female,Hispanic,High School,12,67,5,Yes,Engineering,San Francisco,None,No,No
100043,30,Female,Hispanic,Bachelors,29,60,1,No,Sales,New York,None,No,No
100044,44,Male,Hispanic,Bachelors,11,52,8,No,Marketing,San Francisco,None,No,No
100045,32,Male,White,PhD,18,42,3,No,Marketing,San Francisco,None,No,Yes
100046,62,Male,White,PhD,2,51,5,No,Marketing,Austin,None,Yes,No
100047,25,Female,Hispanic,Bachelors,25,53,6,No,Sales,Remote,None,No,No
100048,62,Male,Asian,PhD,21,100,9,No,Marketing,New York,None,No,Yes
100049,62,Female,Black,Masters,18,89,7,Yes,Operations,San Francisco,None,No,No
100050,23,Female,Asian,Bachelors,17,63,8,No,Operations,New York,None,No,No
100051,37,Female,White,Bachelors,10,82,8,No,HR,New York,Sensory,No,No
100052,37,Female,Black,Bachelors,11,21,6,No,Marketing,San Francisco,None,No,No
100053,60,Male,White,Bachelors,8,76,3,No,Sales,Chicago,None,No,Yes
100054,26,Male,Hispanic,High School,8,74,3,No,HR,Austin,None,No,No
100055,60,Female,White,High School,14,58,10,Yes,HR,Chicago,None,No,Yes
100056,44,Male,Asian,High School,8,67,3,No,Finance,Chicago,None,No,Yes
100057,54,Male,White,Bachelors,28,67,4,No,Sales,New York,None,No,No
100058,47,Male,Asian,Masters,3,48,6,No,HR,San Francisco,None,Yes,No
100059,49,Female,White,Bachelors,7,75,8,Yes,Engineering,Austin,Sensory,No,Yes
100060,36,Non-binary,Asian,Masters,25,54,6,No,Operations,Remote,None,No,No
100061,29,Male,Black,PhD,25,93,6,No,HR,Remote,None,No,Yes
100062,24,Male,Asian,Bachelors,3,80,6,No,Operations,Chicago,Sensory,No,Yes
100063,54,Female,Hispanic,High School,18,60,4,No,Sales,San Francisco,None,No,No
100064,59,Male,Other,Masters,28,82,7,No,Engineering,Austin,None,No,Yes
