enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,looking_for_job_change
24002,city_149,0.689,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,50-99,Funded Startup,1,52,No
29926,city_103,0.92,Unknown,No relevent experience,Full time course,Graduate,Arts,3,Unknown,Unknown,Unknown,41,No
28726,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,Other,>20,Unknown,Unknown,4,11,No
28474,city_67,0.855,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,Unknown,Unknown,4,19,No
14286,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,17,<10,Early Stage Startup,1,53,No
19047,city_71,0.884,Male,Has relevent experience,no_enrollment,Masters,STEM,11,<10,Pvt Ltd,1,36,No
21624,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,2,28,No
8266,city_30,0.698,Unknown,Has relevent experience,no_enrollment,High School,Unknown,8,<10,Early Stage Startup,1,166,No
18849,city_46,0.762,Male,Has relevent experience,Full time course,Graduate,STEM,4,5000-9999,Pvt Ltd,1,62,No
19394,city_16,0.91,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,Unknown,Unknown,never,6,No
12458,city_114,0.925999999999999,Male,Has relevent experience,no_enrollment,Masters,Business Degree,19,50-99,Pvt Ltd,3,63,No
14709,city_136,0.897,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,2,Unknown,Unknown,1,56,No
766,city_103,0.92,Unknown,Has relevent experience,no_enrollment,Unknown,Unknown,8,Unknown,Unknown,Unknown,92,No
71,city_103,0.92,Male,Has relevent experience,no_enrollment,Primary School,Unknown,>20,<10,Funded Startup,2,35,No
7996,city_41,0.827,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,9,100-500,Public Sector,2,6,No
32132,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,500-999,Pvt Ltd,1,52,No
2385,city_75,0.939,Male,No relevent experience,no_enrollment,Graduate,STEM,15,<10,Pvt Ltd,>4,114,No
4218,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,10/49,Pvt Ltd,>4,198,No
7383,city_67,0.855,Female,Has relevent experience,Part time course,Graduate,STEM,7,10000+,Pvt Ltd,1,41,No
29657,city_103,0.92,Unknown,No relevent experience,Part time course,Graduate,Business Degree,<1,50-99,Pvt Ltd,1,15,No
29533,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,>4,17,No
19363,city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,Unknown,Unknown,>4,46,No
11832,city_36,0.893,Female,Has relevent experience,no_enrollment,Masters,STEM,14,100-500,Pvt Ltd,1,34,No
22252,city_104,0.924,Male,Has relevent experience,no_enrollment,Masters,STEM,16,10000+,Pvt Ltd,never,74,No
6218,city_21,0.624,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,<1,Unknown,Pvt Ltd,1,6,No
31264,city_114,0.925999999999999,Male,No relevent experience,Full time course,High School,Unknown,5,Unknown,Unknown,1,56,No
25320,city_16,0.91,Male,No relevent experience,Part time course,Graduate,Business Degree,19,<10,Pvt Ltd,>4,9,No
1986,city_73,0.754,Male,Has relevent experience,Part time course,Graduate,STEM,7,10/49,Public Sector,1,158,No
24168,city_114,0.925999999999999,Unknown,Has relevent experience,no_enrollment,Masters,STEM,17,100-500,Pvt Ltd,1,50,No
2920,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,10000+,Pvt Ltd,1,153,No
1435,city_103,0.92,Unknown,No relevent experience,no_enrollment,High School,Unknown,Unknown,Unknown,Unknown,Unknown,4,No
27597,city_114,0.925999999999999,Male,Has relevent experience,no_enrollment,Graduate,Other,15,1000-4999,Pvt Ltd,1,145,No
32363,city_73,0.754,Male,Has relevent experience,no_enrollment,High School,Unknown,<1,Unknown,Pvt Ltd,never,23,No
30813,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,>4,42,No
27804,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,4,No
29285,city_21,0.624,Male,No relevent experience,Full time course,High School,Unknown,7,Unknown,Unknown,2,25,No
18280,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,No Major,>20,1000-4999,NGO,>4,11,No
29879,city_46,0.762,Male,Has relevent experience,Unknown,Phd,STEM,15,<10,Funded Startup,>4,19,No
28204,city_28,0.939,Unknown,Has relevent experience,Full time course,Masters,STEM,>20,100-500,Funded Startup,>4,76,No
8117,city_61,0.912999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,1,13,No
31121,city_11,0.55,Male,No relevent experience,no_enrollment,Masters,STEM,10,10/49,Pvt Ltd,1,26,No
12753,city_102,0.804,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,10000+,Pvt Ltd,1,44,No
30055,city_104,0.924,Male,No relevent experience,Part time course,Graduate,STEM,4,Unknown,Unknown,1,35,No
2465,city_45,0.89,Male,Has relevent experience,no_enrollment,Masters,Business Degree,16,1000-4999,Pvt Ltd,1,50,No
21843,city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,2,96,No
19246,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,never,192,No
10059,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,10000+,Pvt Ltd,1,56,No
460,city_104,0.924,Male,No relevent experience,Full time course,High School,Unknown,3,Unknown,Unknown,3,99,No
20985,city_114,0.925999999999999,Male,Has relevent experience,no_enrollment,Masters,STEM,16,Unknown,Unknown,2,13,No
5700,city_10,0.895,Male,Has relevent experience,Part time course,Graduate,STEM,12,10/49,Pvt Ltd,1,12,No
24698,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Early Stage Startup,1,3,No
3209,city_98,0.949,Male,Has relevent experience,no_enrollment,Masters,STEM,10,50-99,Pvt Ltd,2,62,No
29604,city_67,0.855,Unknown,Has relevent experience,no_enrollment,Masters,STEM,14,50-99,Pvt Ltd,4,54,No
33250,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,Unknown,Unknown,1,34,No
7664,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Funded Startup,2,17,No
3861,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,100-500,Pvt Ltd,2,98,No
5906,city_71,0.884,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,1,14,No
14378,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,<1,500-999,Unknown,1,22,No
21105,city_41,0.827,Unknown,No relevent experience,no_enrollment,Masters,Business Degree,2,1000-4999,Pvt Ltd,1,36,No
21168,city_103,0.92,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,2,10000+,Pvt Ltd,1,125,No
19131,city_103,0.92,Male,No relevent experience,Part time course,Graduate,STEM,2,10000+,Pvt Ltd,1,6,No
14692,city_114,0.925999999999999,Unknown,Has relevent experience,no_enrollment,Masters,STEM,4,500-999,NGO,never,31,No
98,city_16,0.91,Unknown,No relevent experience,no_enrollment,Graduate,STEM,6,10/49,Pvt Ltd,>4,40,No
18636,city_11,0.55,Male,Has relevent experience,no_enrollment,Masters,STEM,17,1000-4999,Public Sector,>4,107,No
22112,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,50-99,Funded Startup,1,8,No
8059,city_61,0.912999999999999,Male,Has relevent experience,Part time course,Graduate,STEM,7,100-500,Pvt Ltd,1,18,No
28796,city_114,0.925999999999999,Male,No relevent experience,Full time course,Masters,STEM,>20,Unknown,Unknown,2,36,No
25996,city_50,0.895999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,Unknown,Pvt Ltd,1,109,No
18150,city_97,0.925,Male,Has relevent experience,no_enrollment,Primary School,Unknown,6,Unknown,Unknown,>4,28,No
32287,city_100,0.887,Male,No relevent experience,Full time course,Graduate,STEM,6,Unknown,Pvt Ltd,never,61,No
31946,city_11,0.55,Female,Has relevent experience,no_enrollment,Masters,STEM,11,100-500,Pvt Ltd,never,51,No
5516,city_165,0.903,Male,Has relevent experience,no_enrollment,Masters,STEM,6,Unknown,Unknown,1,108,No
14278,city_65,0.802,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,50-99,Pvt Ltd,3,44,No
15686,city_116,0.743,Unknown,No relevent experience,no_enrollment,Masters,STEM,7,Unknown,Pvt Ltd,1,30,No
20374,city_103,0.92,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,9,50-99,Pvt Ltd,4,56,No
21468,city_21,0.624,Unknown,Has relevent experience,Part time course,Masters,STEM,5,10/49,Early Stage Startup,3,6,No
8414,city_160,0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,11,10000+,Pvt Ltd,2,24,No
1551,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Funded Startup,1,6,No
18164,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,Humanities,1,50-99,Funded Startup,1,15,No
5034,city_105,0.794,Male,No relevent experience,no_enrollment,Graduate,Humanities,<1,Unknown,Unknown,never,8,No
9124,city_103,0.92,Unknown,Has relevent experience,no_enrollment,Primary School,Unknown,13,50-99,Early Stage Startup,2,26,No
5454,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,15,50-99,Early Stage Startup,1,22,No
19147,city_103,0.92,Unknown,Has relevent experience,Part time course,Graduate,STEM,3,Unknown,Unknown,Unknown,30,No
4204,city_104,0.924,Male,Has relevent experience,Full time course,Primary School,Unknown,11,Unknown,Unknown,1,8,No
28160,city_21,0.624,Unknown,No relevent experience,Full time course,High School,Unknown,3,Unknown,Unknown,never,58,No
17161,city_114,0.925999999999999,Male,Has relevent experience,no_enrollment,Masters,STEM,5,100-500,Funded Startup,1,18,No
15662,city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,100-500,Pvt Ltd,1,96,No
20520,city_65,0.802,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,50-99,Public Sector,2,136,No
24521,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,10000+,Pvt Ltd,2,108,No
13112,city_114,0.925999999999999,Male,Has relevent experience,no_enrollment,Primary School,Unknown,>20,50-99,Pvt Ltd,1,18,No
22159,city_103,0.92,Male,Has relevent experience,no_enrollment,Phd,STEM,12,1000-4999,Pvt Ltd,1,51,No
1487,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,50-99,Pvt Ltd,3,15,No
5502,city_98,0.949,Male,No relevent experience,no_enrollment,High School,Unknown,2,Unknown,Pvt Ltd,never,12,No
18614,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,1,29,No
8745,city_53,0.74,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,1000-4999,Pvt Ltd,>4,49,No
20621,city_21,0.624,Unknown,No relevent experience,Full time course,Masters,STEM,2,1000-4999,Unknown,2,76,No
7168,city_16,0.91,Male,Has relevent experience,Part time course,Graduate,STEM,>20,50-99,Pvt Ltd,3,14,No
21062,city_114,0.925999999999999,Male,Has relevent experience,no_enrollment,Masters,STEM,14,100-500,Pvt Ltd,>4,117,No
16254,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,5000-9999,Unknown,4,58,No
24986,city_138,0.836,Male,Has relevent experience,Part time course,Masters,STEM,17,10000+,Pvt Ltd,1,19,No
20762,city_11,0.55,Female,Has relevent experience,no_enrollment,Graduate,STEM,4,10/49,Pvt Ltd,1,2,No
32692,city_16,0.91,Male,Has relevent experience,Full time course,Graduate,STEM,1,Unknown,Unknown,1,96,No
1226,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,10/49,Pvt Ltd,1,8,No
24266,city_90,0.698,Male,Has relevent experience,no_enrollment,Masters,STEM,11,100-500,NGO,1,36,No
23144,city_175,0.775999999999999,Male,Has relevent experience,no_enrollment,Graduate,Humanities,6,10/49,Pvt Ltd,>4,14,No
21088,city_45,0.89,Male,Has relevent experience,no_enrollment,Masters,STEM,9,Unknown,Unknown,never,218,No
7551,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,Other,3,<10,Funded Startup,1,60,No
32095,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,Humanities,2,50-99,Early Stage Startup,1,104,No
8703,city_11,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,100-500,Pvt Ltd,1,5,No
23146,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,18,10000+,Pvt Ltd,1,45,No
17869,city_61,0.912999999999999,Unknown,No relevent experience,Full time course,Graduate,STEM,4,Unknown,Unknown,3,12,No
10033,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,8,10000+,Pvt Ltd,1,30,No
17029,city_103,0.92,Unknown,Has relevent experience,no_enrollment,Graduate,Humanities,2,50-99,Funded Startup,2,53,No
6542,city_36,0.893,Male,Has relevent experience,no_enrollment,Masters,STEM,17,1000-4999,NGO,1,13,No
27244,city_21,0.624,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,2,100-500,Pvt Ltd,1,100,No
26524,city_75,0.939,Male,No relevent experience,Part time course,Graduate,STEM,>20,50-99,Pvt Ltd,1,122,No
7067,city_103,0.92,Unknown,Has relevent experience,no_enrollment,Graduate,Arts,15,100-500,Pvt Ltd,1,84,No
27853,city_26,0.698,Unknown,Has relevent experience,Full time course,Unknown,Unknown,2,<10,Public Sector,never,28,No
7724,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Unknown,1,38,No
12499,city_71,0.884,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,500-999,Pvt Ltd,>4,70,No
32826,city_138,0.836,Male,Has relevent experience,Full time course,Masters,STEM,7,Unknown,Unknown,1,45,No
28508,city_21,0.624,Unknown,No relevent experience,Full time course,High School,Unknown,3,Unknown,Unknown,never,145,No
16815,city_136,0.897,Male,No relevent experience,Full time course,Graduate,STEM,5,Unknown,Unknown,1,16,No
3959,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,>4,92,No
31143,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Other,>20,500-999,Other,>4,28,No
1859,city_97,0.925,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,100-500,Pvt Ltd,>4,84,No
2382,city_77,0.83,Male,Has relevent experience,no_enrollment,Masters,STEM,14,1000-4999,Pvt Ltd,1,48,No
