Gender,Age,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Religion,Caste_Category,loan_approved
Male,35,Yes,0,Graduate,Yes,7708,4413,75,180,Unknown,Rural,Hindu,SC,Approved
Female,45,Yes,2,Not_Graduate,No,4793,356,176,360,Unknown,Urban,Christian,ST,Rejected
Male,23,No,0,Graduate,Yes,1000,0,278,360,Defaulted,Semiurban,Hindu,SC,Rejected
Male,42,No,2,Graduate,No,1000,0,106,180,Clear,Urban,Christian,ST,Approved
Female,36,No,1,Not_Graduate,Yes,1000,0,149,180,Clear,Semiurban,Muslim,ST,Rejected
Male,29,Yes,3+,Not_Graduate,No,2073,3621,53,360,Defaulted,Urban,Hindu,ST,Rejected
Female,29,Yes,0,Graduate,No,4685,3418,20,60,Clear,Rural,Muslim,SC,Approved
Male,50,Yes,2,Not_Graduate,No,1000,1035,152,180,Defaulted,Rural,Hindu,OBC,Approved
Female,29,Yes,0,Graduate,No,7575,3838,315,240,Unknown,Semiurban,Christian,ST,Approved
Male,59,Yes,3+,Graduate,No,1000,1767,108,180,Clear,Urban,Hindu,ST,Approved
Male,64,Yes,1,Graduate,No,10559,1301,330,120,Clear,Semiurban,Hindu,OBC,Approved
Other,42,No,3+,Graduate,No,3831,0,182,60,Clear,Urban,Muslim,General,Rejected
Female,24,No,0,Graduate,No,7309,0,220,360,Unknown,Urban,Muslim,OBC,Rejected
Female,44,Yes,1,Not_Graduate,No,5167,284,208,120,Unknown,Rural,Christian,General,Rejected
Male,39,No,2,Graduate,No,5658,0,136,360,Defaulted,Semiurban,Muslim,General,Rejected
Male,34,No,0,Graduate,No,12138,0,99,120,Clear,Rural,Muslim,OBC,Approved
Male,31,Yes,3+,Graduate,No,9783,2958,209,360,Defaulted,Rural,Sikh,ST,Rejected
Male,29,Yes,1,Graduate,No,4082,1806,69,180,Unknown,Semiurban,Muslim,SC,Approved
Female,53,Yes,3+,Graduate,No,1000,999,247,300,Clear,Rural,Christian,SC,Rejected
Female,37,Yes,0,Graduate,Yes,1000,0,251,60,Clear,Semiurban,Sikh,General,Approved
Male,41,No,3+,Not_Graduate,Yes,7837,0,166,180,Clear,Rural,Hindu,OBC,Approved
Male,44,Yes,2,Not_Graduate,No,7029,815,115,240,Unknown,Semiurban,Other,SC,Approved
Male,30,Yes,1,Not_Graduate,No,5333,0,279,60,Defaulted,Urban,Hindu,OBC,Rejected
Male,57,Yes,2,Graduate,No,15271,2174,125,60,Clear,Urban,Hindu,SC,Approved
Male,28,No,0,Not_Graduate,No,3387,0,197,300,Clear,Rural,Muslim,OBC,Approved
Male,23,Yes,1,Graduate,No,5125,1242,75,360,Clear,Urban,Hindu,General,Approved
Male,28,Yes,1,Graduate,No,13658,3811,144,180,Clear,Urban,Muslim,OBC,Approved
Male,34,No,1,Not_Graduate,No,10399,0,111,120,Clear,Semiurban,Christian,ST,Rejected
Male,61,Yes,0,Graduate,No,5213,3857,20,360,Clear,Rural,Hindu,OBC,Approved
Male,53,No,1,Graduate,No,15052,0,169,60,Clear,Rural,Muslim,OBC,Approved
Male,35,Yes,3+,Graduate,No,11467,38,80,180,Clear,Semiurban,Hindu,General,Approved
Male,29,Yes,0,Graduate,No,9947,1325,107,180,Clear,Semiurban,Muslim,General,Approved
Female,28,Yes,0,Graduate,No,7007,3613,37,120,Clear,Urban,Hindu,OBC,Approved
Male,38,Yes,2,Not_Graduate,No,4234,1098,173,240,Clear,Urban,Hindu,General,Rejected
Female,49,No,0,Graduate,No,4492,0,168,60,Clear,Urban,Hindu,ST,Approved
Male,36,Yes,1,Graduate,Yes,7837,2591,34,300,Defaulted,Rural,Hindu,ST,Approved
Male,60,Yes,0,Graduate,No,3403,3903,20,360,Clear,Semiurban,Hindu,General,Approved
Male,21,No,0,Graduate,No,7158,0,270,240,Unknown,Rural,Muslim,ST,Approved
Male,30,Yes,0,Graduate,No,8179,1662,269,240,Clear,Rural,Hindu,General,Approved
Male,51,No,2,Graduate,No,14400,0,259,120,Clear,Semiurban,Christian,ST,Rejected
Male,36,No,0,Graduate,No,8583,0,144,360,Defaulted,Semiurban,Christian,OBC,Rejected
Male,35,No,1,Graduate,Yes,6820,0,230,180,Clear,Rural,Other,OBC,Approved
Female,54,Yes,2,Graduate,Yes,8085,1595,88,300,Unknown,Urban,Hindu,SC,Rejected
Female,48,No,1,Graduate,Yes,3495,0,114,240,Unknown,Rural,Hindu,ST,Rejected
Female,59,No,3+,Graduate,No,2899,0,236,300,Unknown,Rural,Sikh,SC,Rejected
Male,28,Yes,1,Graduate,Yes,7390,4385,115,180,Clear,Urban,Muslim,OBC,Rejected
Female,57,Yes,1,Graduate,No,8475,1341,314,120,Clear,Urban,Other,SC,Approved
Male,32,Yes,1,Graduate,No,4261,3145,72,180,Clear,Urban,Other,General,Rejected
Male,21,Yes,0,Graduate,No,14252,5121,198,180,Clear,Urban,Muslim,ST,Approved
Male,59,No,1,Graduate,Yes,6064,0,233,60,Defaulted,Urban,Hindu,General,Rejected
Female,49,No,2,Not_Graduate,No,1323,0,131,300,Clear,Urban,Muslim,General,Approved
Male,56,No,1,Graduate,No,5095,0,224,360,Clear,Rural,Hindu,General,Approved
Other,53,No,2,Graduate,No,8439,0,20,120,Clear,Urban,Hindu,OBC,Approved
Male,63,Yes,0,Not_Graduate,No,1724,2161,59,120,Clear,Urban,Hindu,OBC,Approved
Female,53,Yes,0,Graduate,No,6975,711,161,240,Clear,Semiurban,Christian,OBC,Approved
Male,61,Yes,2,Graduate,No,1000,3508,126,180,Defaulted,Urban,Christian,General,Rejected
Female,37,No,2,Not_Graduate,No,2941,0,189,240,Unknown,Rural,Sikh,SC,Rejected
Female,42,Yes,0,Not_Graduate,No,5636,0,258,60,Defaulted,Rural,Hindu,OBC,Rejected
Male,53,Yes,0,Graduate,No,6956,0,20,60,Clear,Semiurban,Christian,SC,Approved
Female,65,Yes,1,Graduate,No,2345,4794,158,180,Clear,Urban,Hindu,General,Approved
Male,30,Yes,3+,Graduate,No,8778,1936,136,360,Clear,Urban,Christian,OBC,Approved
Male,29,No,3+,Graduate,No,7737,0,225,240,Clear,Rural,Muslim,General,Approved
Male,40,Yes,1,Graduate,No,7677,1691,112,60,Clear,Urban,Hindu,ST,Approved
Male,61,Yes,2,Graduate,No,6078,2537,116,180,Unknown,Semiurban,Hindu,SC,Approved
Other,57,No,1,Graduate,Yes,2557,0,94,360,Clear,Urban,Sikh,OBC,Approved
Male,46,No,0,Graduate,No,6629,0,190,300,Defaulted,Rural,Christian,SC,Rejected
Male,58,Yes,3+,Graduate,No,3873,1381,119,60,Clear,Semiurban,Hindu,OBC,Approved
Female,48,No,2,Graduate,No,9728,0,171,240,Clear,Semiurban,Hindu,OBC,Approved
Male,46,Yes,2,Graduate,No,10385,5134,20,240,Clear,Rural,Christian,SC,Approved
Male,25,No,3+,Graduate,No,9788,0,156,240,Defaulted,Semiurban,Muslim,OBC,Rejected
Female,59,No,1,Graduate,No,9503,0,281,120,Unknown,Semiurban,Hindu,General,Approved
Male,34,Yes,3+,Not_Graduate,No,9431,685,251,300,Clear,Urban,Sikh,OBC,Approved
Female,64,Yes,1,Graduate,No,6817,1329,73,120,Clear,Semiurban,Hindu,OBC,Approved
Male,30,Yes,0,Graduate,No,13372,2329,163,360,Clear,Rural,Christian,SC,Approved
Female,64,No,0,Not_Graduate,No,4974,0,97,300,Clear,Semiurban,Hindu,OBC,Approved
Other,61,No,2,Graduate,No,1000,0,192,360,Clear,Rural,Hindu,OBC,Rejected
Male,64,Yes,2,Graduate,No,8610,3140,201,300,Unknown,Rural,Hindu,ST,Rejected
Male,63,Yes,0,Graduate,No,7847,570,150,180,Clear,Urban,Hindu,SC,Rejected
Female,57,No,2,Graduate,No,2412,0,20,360,Unknown,Rural,Muslim,OBC,Approved
Female,63,Yes,0,Graduate,No,6933,1369,230,360,Clear,Urban,Muslim,General,Rejected
Other,46,Yes,3+,Graduate,No,3194,1531,44,360,Clear,Rural,Hindu,OBC,Approved
Female,22,Yes,3+,Not_Graduate,No,5693,2462,209,60,Clear,Rural,Hindu,SC,Rejected
Male,39,Yes,1,Not_Graduate,No,3396,1912,86,240,Defaulted,Rural,Christian,SC,Rejected
Male,28,Yes,2,Graduate,No,8167,1198,153,120,Clear,Urban,Muslim,OBC,Approved
Male,57,Yes,0,Graduate,No,1989,4088,59,240,Clear,Rural,Muslim,SC,Approved
Male,24,Yes,3+,Graduate,Yes,10779,1938,149,180,Clear,Semiurban,Hindu,OBC,Approved
Male,53,Yes,1,Not_Graduate,No,7857,1029,114,240,Clear,Rural,Hindu,SC,Approved
Female,24,No,1,Graduate,No,12512,0,126,180,Clear,Semiurban,Christian,General,Approved
Male,30,Yes,1,Graduate,Yes,10134,1780,246,240,Clear,Urban,Hindu,SC,Approved
Male,64,Yes,2,Not_Graduate,No,4177,2863,78,240,Unknown,Semiurban,Hindu,SC,Rejected
Other,42,No,0,Graduate,No,1000,0,116,180,Clear,Urban,Christian,General,Approved
Male,55,Yes,2,Not_Graduate,No,4295,933,101,180,Unknown,Urban,Christian,General,Rejected
Male,34,No,2,Graduate,No,3598,0,162,60,Clear,Rural,Muslim,SC,Approved
Male,54,Yes,3+,Graduate,No,7113,741,165,120,Clear,Rural,Sikh,General,Approved
Male,31,Yes,3+,Graduate,No,9155,2944,175,120,Defaulted,Semiurban,Muslim,OBC,Rejected
Male,43,No,2,Graduate,No,1094,0,84,120,Clear,Semiurban,Muslim,OBC,Approved
